# Resolved addresses found in D:\College\Semester-5\FCS_FoundationstoComputerSecurity\Foundations-to-Computer-Security-Assignments\Assignment-3\HW3_Resources\Part 5\log.pcap

# Comments
#
# No entries.

# Hosts
#
# 662 entries.

107.21.94.82	lb-meter-svc-317837344.us-east-1.elb.amazonaws.com
54.240.160.144	d1z2jf7jlzjs58.cloudfront.net
64.215.255.17	widgets-lf.clearspring-lf.com.akadns.net
208.71.198.37	gslb.be.monster.com
23.23.97.95	adchoices-icon-cde-1968696106.us-east-1.elb.amazonaws.com
62.41.85.133	n5dsw4.akamai.net
64.208.138.216	ib.adnxs.com
204.13.250.8	ns2.p08.dynect.net
69.171.237.34	graph.facebook.com
208.80.152.130	ns0.wikimedia.org
50.58.240.84	www.nytimesathome.com
199.93.63.47	us-va-2.ns.c.footprint.net
204.13.250.14	ns2.p14.dynect.net
108.59.11.108	chromeadblock.com
156.154.64.68	pdns68.ultradns.com
107.21.207.223	production-analytics-collector-592917094.us-east-1.elb.amazonaw
72.233.127.217	vip-lb.wordpress.com
141.211.144.176	weblogin.umich.edu
66.235.138.2	condenast.112.2o7.net
74.125.225.129	youtube.com
208.80.152.142	ns1.wikimedia.org
2.22.230.131	ns2-131.akadns.org
74.200.247.187	vip-lb.wordpress.com
74.125.225.135	youtube.com
78.100.80.86	track.qcri.org
216.123.224.131	dns1.cidc.telus.com
98.138.81.73	any-ycpi-uno.aycpi.b.yahoodns.net
192.26.92.30	c.gtld-servers.net
74.125.225.141	pagead46.l.doubleclick.net
205.251.199.16	ns-1808.awsdns-34.co.uk
204.246.162.10	ns-947.amazonaws.com
208.80.154.232	mediawiki-lb.eqiad.wikimedia.org
192.122.184.74	a1213.g.akamai.net
77.67.86.70	n5b.akamai.net
50.17.180.232	lb-meter-svc-317837344.us-east-1.elb.amazonaws.com
75.102.60.46	ns4.no-ip.com
199.30.80.32	static.stumbleupon.com
170.149.168.150	video.nytimes.com
192.122.184.80	a1467.g2.akamai.net
146.82.98.44	n5x.akamai.net
208.181.59.253	smpd1.newspaperdirect.com
69.171.227.67	0-257.channel.facebook.com
74.125.225.153	pagead46.l.doubleclick.net
209.11.220.190	realestate.nytimes.com
66.211.179.119	rover.ebay.com
170.149.168.156	topics.nytimes.com
108.162.202.61	www.franchisesolutions.com
64.209.38.205	n3g.akamaiedge.net
174.129.5.63	adchoices-icon-cde-1968696106.us-east-1.elb.amazonaws.com
74.125.225.34	www-google-analytics.l.google.com
205.251.192.151	ns-151.awsdns-18.com
23.61.199.131	ns3-131.akadns.org
